authority-code,name,corporate_body_classification
ACER,European Union Agency for the Cooperation of Energy Regulators,AGENCY_DEC
ACSH,Advisory Committee on Safety and Health at Work,CB_EU
AEPPEPF,Authority for European Political Parties and European Political Foundations,CB_EU
AGRI,Directorate-General for Agriculture and Rural Development,DIR_GEN
BANK_EURO19,"National banks within the Eurosystem: Nationale Bank van België/Banque Nationale de Belgique, Deutsche Bundesbank, Eesti Pank, Banc Ceannais na hÉireann/Central Bank of Ireland, Τράπεζα της Ελλάδος, Banco de España, Banque de France, Banca d’Italia, Κεντρική Τράπεζα της Κύπρου, Latvijas Banka, Lietuvos Bankas, Banque centrale du Luxembourg, Bank Centrali ta’ Malta/Central Bank of Malta, De Nederlandsche Bank, Oesterreichische Nationalbank, Banco de Portugal, Banka Slovenije, Národná banka Slovenska, Suomen Pankki/Finlands Bank",CB_EU
BANK_NONEURO8,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Hrvatska narodna banka, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank",CB_EU
BBI,Bio-based Industries Joint Undertaking,EU_JU
BENELUX,Benelux Union,CB_EU
BEREC,Body of European Regulators for Electronic Communications,CB_EU
BEREC_OFFICE,Agency for Support for BEREC,AGENCY_DEC
BUDG,Directorate-General for Budget,DIR_GEN
CBRN_COE,CBRN Centres of Excellence,CB_EU
CCSS,Administrative Commission for the Coordination of Social Security Systems,CB_EU
CDT,Translation Centre,AGENCY_DEC
CEDEFOP,Cedefop,AGENCY_DEC
CEPOL,European Union Agency for Law Enforcement Training,AGENCY_DEC
CERT,"Computer Emergency Response Team for the EU institutions, bodies and agencies",EU_INTERINSTSERV
CFCA,European Fisheries Control Agency,AGENCY_DEC
CHAFEA,"Consumers, Health, Agriculture and Food Executive Agency",AGENCY_EXEC
CJ,Court of Justice,EU_INST
CLIMA,Directorate-General for Climate Action,DIR_GEN
CMT_ADVIS_MERGER,Advisory Committee on Concentrations,CB_EU
CMT_ADVIS_MONOPOL,Advisory Committee on Restrictive Practices and Dominant Positions,CB_EU
CMT_AMB_EU_ACP,ACP–EU Committee of Ambassadors,CB_EU
CMT_CONC,Conciliation Committee,CB_EU
CMT_CONS,Consultative Committee,CB_EU
CMT_COOP,Cooperation Committee,CB_EU
CMT_COOP_CUSTOM,Customs Cooperation Committee,CB_EU
CMT_EMPL,Employment Committee,CB_EU
CMT_INLAND_TRANSP_CHE,EC–Switzerland Inland Transport Committee,CB_EU
CMT_JOIN,Joint Committee,CB_EU
CMT_MIX,Joint Committee,CB_EU
CMT_MIX_EEAREA,EEA Joint Committee,CMT_MIX
CMT_MIX_EU_CHE,EU–Switzerland Joint Committee,CMT_MIX
CMT_MIX_EU_ICAO,EU–ICAO Joint Committee,CMT_MIX
CMT_MIX_EU_MEX,EU–Mexico Joint Committee,CMT_MIX
CMT_PARIT,Joint Committee,CB_EU
CMT_PSC,Political and Security Committee,CB_EU
CMT_STAFF,Staff Committee,CB_EU
CMT_TRADE_EU_ROK,EU–Korea Trade Committee,CB_EU
CNECT,"Directorate-General for Communications Networks, Content and Technology",DIR_GEN
COM,European Commission,EU_INST
COMMU,Directorate-General for Communication,DIR_GEN
COMP,Directorate-General for Competition,DIR_GEN
COM_CAB,Cabinets of Commissioners,CB_EU
COM_COLL,College of Commissioners,CB_EU
COM_PRES,President of the European Commission,CB_EU
CONSIL,Council of the European Union,EU_INST
CONSIL_AGRIFISH,Agriculture and Fisheries Council,CB_EU
CONSIL_COMPET,Competitiveness Council,CB_EU
CONSIL_ECOFIN,Economic and Financial Affairs Council,CB_EU
CONSIL_ENV,Environment Council,CB_EU
CONSIL_EPSCO,"Employment, Social Policy, Health and Consumer Affairs Council",CB_EU
CONSIL_EYCS,"Education, Youth, Culture and Sport Council",CB_EU
CONSIL_FAC,Foreign Affairs Council,CB_EU
CONSIL_GAC,General Affairs Council,CB_EU
CONSIL_JHA,Justice and Home Affairs Council,CB_EU
CONSIL_PRES,Presidency of the Council of the EU,CB_EU
CONSIL_SG,General Secretariat of the Council,CB_EU
CONSIL_TTE,"Transport, Telecommunications and Energy Council",CB_EU
COR,European Committee of the Regions,EU_BODY
CORDIS,CORDIS,CB_EU
COREPER,Permanent Representatives Committee,CB_EU
COREPER_I,Committee of Permanent Representatives – Part I,CB_EU
COREPER_II,Committee of Permanent Representatives – Part II,CB_EU
COR_CIVEX,"Commission for Citizenship, Governance, Institutional and External Affairs",COR_COM
COR_COTER,Commission for Territorial Cohesion Policy and EU Budget,COR_COM
COR_DIR_COMMUNICATION,Directorate for Communication,COR_DIR
COR_DIR_HR_FINANCE,Directorate for Human Resources and Finance,COR_DIR
COR_DIR_LEGISLATIVE_1,Directorate for Legislative Work 1,COR_DIR
COR_DIR_LEGISLATIVE_2,Directorate for Legislative Work 2,COR_DIR
COR_DIR_LOGISTICS,Directorate for Logistics,COR_DIR
COR_DIR_MEMBERS_PLENARIES,Directorate for Members and Plenaries,COR_DIR
COR_DIR_TRANSLATION,Directorate for Translation,COR_DIR
COR_ECON,Commission for Economic Policy,COR_COM
COR_ENVE,"Commission for the Environment, Climate Change and Energy",COR_COM
COR_GROUP,Political groups of the European Committee of the Regions,CB_EU
COR_GROUP_ALDE,Alliance of Liberals and Democrats for Europe,COR_GROUP
COR_GROUP_EA,European Alliance,COR_GROUP
COR_GROUP_ECR,European Conservatives and Reformists Group,COR_GROUP
COR_GROUP_EPP,European People’s Party,COR_GROUP
COR_GROUP_NI,Non-attached (NI),COR_GROUP
COR_GROUP_PES,Party of European Socialists,COR_GROUP
COR_NAT,Commission for Natural Resources,COR_COM
COR_SEDEC,"Commission for Social Policy, Education, Employment, Research and Culture",COR_COM
COR_SG,Secretariat-General of the European Committee of the Regions,CB_EU
COST,European cooperation in science and technology,CB_EU
COUN_AMB_EU_ACP,ACP–EU Council of Ministers,CB_EU
COUN_ASS,Association Council,CB_EU
COUN_ASS_EU_CENTR_AMER,EU–Central America Association Council,COUN_ASS
COUN_ASS_EU_CHL,EU–Chile Association Council,COUN_ASS
COUN_ASS_EU_DZA,EU–Algeria Association Council,COUN_ASS
COUN_ASS_EU_EGY,EU–Egypt Association Council,COUN_ASS
COUN_ASS_EU_GEO,EU–Georgia Association Council,COUN_ASS
COUN_ASS_EU_ISR,EU–Israel Association Council,COUN_ASS
COUN_ASS_EU_JOR,EU–Jordan Association Council,COUN_ASS
COUN_ASS_EU_LBN,EU–Lebanon Association Council,COUN_ASS
COUN_ASS_EU_MAR,EU–Morocco Association Council,COUN_ASS
COUN_ASS_EU_MDA,EU–Moldova Association Council,COUN_ASS
COUN_ASS_EU_TUN,EU–Tunisia Association Council,COUN_ASS
COUN_ASS_EU_TUR,EU–Turkey Association Council,COUN_ASS
COUN_ASS_EU_UKR,EU–Ukraine Association Council,COUN_ASS
COUN_COOP,Cooperation Council,CB_EU
COUN_COOP_EU_ARM,EU–Armenia Cooperation Council,COUN_COOP
COUN_COOP_EU_AZE,EU–Azerbaijan Cooperation Council,COUN_COOP
COUN_COOP_EU_KAZ,EU–Kazakhstan Cooperation Council,COUN_COOP
COUN_COOP_EU_KGZ,EU–Kyrgyzstan Cooperation Council,COUN_COOP
COUN_COOP_EU_SYR,EU–Syria Cooperation Council,COUN_COOP
COUN_COOP_EU_TJK,EU–Tajikistan Cooperation Council,COUN_COOP
COUN_COOP_EU_UZB,EU–Uzbekistan Cooperation Council,COUN_COOP
